Time,I(R1)
2.78E-04,1.17E-08
2.80E-04,1.00E-08
2.81E-04,4.42E-09
2.83E-04,-2.63E-09
2.85E-04,-7.08E-09
2.87E-04,-6.23E-09
2.89E-04,-1.75E-09
2.91E-04,3.06E-09
2.93E-04,4.28E-09
2.95E-04,2.51E-09
2.97E-04,-9.26E-10
3.00E-04,-2.75E-09
3.03E-04,-1.46E-09
3.06E-04,1.09E-09
3.10E-04,1.40E-09
3.13E-04,8.03E-11
3.16E-04,-1.10E-09
3.19E-04,-7.17E-10
3.24E-04,6.02E-10
3.28E-04,3.06E-10
3.34E-04,-3.12E-10
3.40E-04,-1.72E-10
3.49E-04,1.99E-10
3.57E-04,-2.21E-11
3.67E-04,-1.03E-10
3.85E-04,8.07E-11
4.09E-04,-5.60E-11
4.57E-04,-1.42E-11
5.53E-04,1.46E-11
6.53E-04,-1.49E-11
7.53E-04,1.34E-13
8.53E-04,-7.12E-14
9.53E-04,1.02E-14
1.05E-03,4.92E-14
1.15E-03,-1.07E-13
1.25E-03,1.62E-13
1.35E-03,-2.15E-13
1.45E-03,2.65E-13
1.55E-03,-3.11E-13
1.65E-03,3.55E-13
1.75E-03,-3.95E-13
1.85E-03,4.32E-13
1.95E-03,-4.65E-13
2.05E-03,4.94E-13
2.15E-03,-5.20E-13
2.25E-03,5.41E-13
2.35E-03,-5.59E-13
2.45E-03,5.72E-13
2.55E-03,-5.82E-13
2.65E-03,5.87E-13
2.75E-03,-5.89E-13
2.85E-03,5.87E-13
2.95E-03,-5.82E-13
3.05E-03,5.73E-13
3.15E-03,-5.60E-13
3.25E-03,5.45E-13
3.35E-03,-5.27E-13
3.45E-03,5.05E-13
3.55E-03,-4.82E-13
3.65E-03,4.55E-13
3.75E-03,-4.27E-13
3.85E-03,3.97E-13
3.95E-03,-3.65E-13
4.05E-03,3.32E-13
4.15E-03,-2.98E-13
4.25E-03,2.62E-13
4.35E-03,-2.26E-13
4.45E-03,1.90E-13
4.55E-03,-1.53E-13
4.65E-03,1.17E-13
4.75E-03,-8.06E-14
4.85E-03,4.48E-14
4.95E-03,-9.72E-15
5.00E-03,-6.11E-14
