Time,Ch2
3.52E-08,-0.1162019
3.53E-08,-0.11595
3.54E-08,-0.115697
3.55E-08,-0.1154429
3.56E-08,-0.1151879
3.57E-08,-0.1149322
3.58E-08,-0.1146759
3.59E-08,-0.1144191
0.000000036,-0.1141619
3.61E-08,-0.1139046
3.62E-08,-0.1136471
3.63E-08,-0.1133897
3.64E-08,-0.1131324
3.65E-08,-0.1128754
3.66E-08,-0.1126188
3.67E-08,-0.1123628
3.68E-08,-0.1121074
3.69E-08,-0.1118528
0.000000037,-0.1115991
3.71E-08,-0.1113463
3.72E-08,-0.1110947
3.73E-08,-0.1108443
3.74E-08,-0.1105952
3.75E-08,-0.1103476
3.76E-08,-0.1101015
3.77E-08,-0.109857
3.78E-08,-0.1096144
3.79E-08,-0.1093735
0.000000038,-0.1091347
3.81E-08,-0.1088978
3.82E-08,-0.1086632
3.83E-08,-0.1084308
3.84E-08,-0.1082007
3.85E-08,-0.1079731
3.86E-08,-0.107748
3.87E-08,-0.1075255
3.88E-08,-0.1073057
3.89E-08,-0.1070887
0.000000039,-0.1068746
3.91E-08,-0.1066635
3.92E-08,-0.1064554
3.93E-08,-0.1062504
3.94E-08,-0.1060486
3.95E-08,-0.1058501
3.96E-08,-0.1056549
3.97E-08,-0.1054632
3.98E-08,-0.1052749
3.99E-08,-0.1050902
0.00000004,-0.1049091
4.01E-08,-0.1047317
4.02E-08,-0.104558
4.03E-08,-0.1043881
4.04E-08,-0.1042221
4.05E-08,-0.1040599
4.06E-08,-0.1039017
4.07E-08,-0.1037475
4.08E-08,-0.1035973
4.09E-08,-0.1034512
0.000000041,-0.1033091
4.11E-08,-0.1031713
4.12E-08,-0.1030376
4.13E-08,-0.1029081
4.14E-08,-0.1027828
4.15E-08,-0.1026617
4.16E-08,-0.102545
4.17E-08,-0.1024325
4.18E-08,-0.1023243
4.19E-08,-0.1022204
0.000000042,-0.1021209
4.21E-08,-0.1020257
4.22E-08,-0.1019348
4.23E-08,-0.1018483
4.24E-08,-0.1017661
4.25E-08,-0.1016882
4.26E-08,-0.1016147
4.27E-08,-0.1015455
4.28E-08,-0.1014806
4.29E-08,-0.10142
0.000000043,-0.1013637
4.31E-08,-0.1013117
4.32E-08,-0.101264
4.33E-08,-0.1012205
4.34E-08,-0.1011812
4.35E-08,-0.1011462
4.36E-08,-0.1011153
4.37E-08,-0.1010887
4.38E-08,-0.1010661
4.39E-08,-0.1010477
0.000000044,-0.1010333
4.41E-08,-0.1010231
4.42E-08,-0.1010168
4.43E-08,-0.1010145
4.44E-08,-0.1010162
4.45E-08,-0.1010219
4.46E-08,-0.1010314
4.47E-08,-0.1010448
4.48E-08,-0.101062
4.49E-08,-0.101083
0.000000045,-0.1011077
4.51E-08,-0.1011362
4.52E-08,-0.1011683
4.53E-08,-0.101204
4.54E-08,-0.1012434
4.55E-08,-0.1012862
4.56E-08,-0.1013326
4.57E-08,-0.1013823
4.58E-08,-0.1014355
4.59E-08,-0.1014921
0.000000046,-0.1015519
4.61E-08,-0.101615
4.62E-08,-0.1016813
4.63E-08,-0.1017507
4.64E-08,-0.1018232
4.65E-08,-0.1018988
4.66E-08,-0.1019774
4.67E-08,-0.1020589
4.68E-08,-0.1021432
4.69E-08,-0.1022304
0.000000047,-0.1023203
4.71E-08,-0.102413
4.72E-08,-0.1025082
4.73E-08,-0.102606
4.74E-08,-0.1027064
4.75E-08,-0.1028091
4.76E-08,-0.1029143
4.77E-08,-0.1030217
4.78E-08,-0.1031314
4.79E-08,-0.1032432
0.000000048,-0.1033571
4.81E-08,-0.1034731
4.82E-08,-0.103591
4.83E-08,-0.1037108
4.84E-08,-0.1038324
4.85E-08,-0.1039557
4.86E-08,-0.1040807
4.87E-08,-0.1042073
4.88E-08,-0.1043354
4.89E-08,-0.1044649
0.000000049,-0.1045958
4.91E-08,-0.104728
4.92E-08,-0.1048614
4.93E-08,-0.1049959
4.94E-08,-0.1051316
4.95E-08,-0.1052682
4.96E-08,-0.1054058
4.97E-08,-0.1055442
4.98E-08,-0.1056835
4.99E-08,-0.1058234
0.00000005,-0.105964
5.01E-08,-0.1061052
5.02E-08,-0.106247
5.03E-08,-0.1063891
5.04E-08,-0.1065317
5.05E-08,-0.1066746
5.06E-08,-0.1068178
5.07E-08,-0.1069612
5.08E-08,-0.1071047
5.09E-08,-0.1072483
0.000000051,-0.1073919
5.11E-08,-0.1075355
5.12E-08,-0.1076789
5.13E-08,-0.1078223
5.14E-08,-0.1079654
5.15E-08,-0.1081082
5.16E-08,-0.1082508
5.17E-08,-0.1083929
5.18E-08,-0.1085346
5.19E-08,-0.1086759
0.000000052,-0.1088166
5.21E-08,-0.1089567
5.22E-08,-0.1090962
5.23E-08,-0.109235
5.24E-08,-0.1093731
5.25E-08,-0.1095104
5.26E-08,-0.1096468
5.27E-08,-0.1097824
5.28E-08,-0.1099171
5.29E-08,-0.1100507
0.000000053,-0.1101834
5.31E-08,-0.110315
5.32E-08,-0.1104455
5.33E-08,-0.1105748
5.34E-08,-0.1107029
5.35E-08,-0.1108298
5.36E-08,-0.1109554
5.37E-08,-0.1110797
5.38E-08,-0.1112026
5.39E-08,-0.111324
0.000000054,-0.1114441
5.41E-08,-0.1115626
5.42E-08,-0.1116797
5.43E-08,-0.1117951
5.44E-08,-0.111909
5.45E-08,-0.1120212
5.46E-08,-0.1121317
5.47E-08,-0.1122405
5.48E-08,-0.1123475
5.49E-08,-0.1124528
0.000000055,-0.1125562
5.51E-08,-0.1126578
5.52E-08,-0.1127574
5.53E-08,-0.1128552
5.54E-08,-0.112951
5.55E-08,-0.1130448
5.56E-08,-0.1131366
5.57E-08,-0.1132263
5.58E-08,-0.1133139
5.59E-08,-0.1133995
0.000000056,-0.1134829
5.61E-08,-0.1135641
5.62E-08,-0.1136432
5.63E-08,-0.11372
5.64E-08,-0.1137946
5.65E-08,-0.113867
5.66E-08,-0.1139371
5.67E-08,-0.1140049
5.68E-08,-0.1140703
5.69E-08,-0.1141335
0.000000057,-0.1141944
5.71E-08,-0.1142528
5.72E-08,-0.114309
5.73E-08,-0.1143628
5.74E-08,-0.1144142
5.75E-08,-0.1144632
5.76E-08,-0.1145098
5.77E-08,-0.1145541
