Time,Ch2
7.835800E-3,-0.06861394
7.836000E-3,-0.05709984
7.836200E-3,-0.05219393
7.836400E-3,-0.05336758
7.836600E-3,-0.05846908
7.836800E-3,-0.06486316
7.837000E-3,-0.07040626
7.837200E-3,-0.07407336
7.837400E-3,-0.07621935
7.837600E-3,-0.07828379
7.837800E-3,-0.08178796
7.838000E-3,-0.08719722
7.838200E-3,-0.09360261
7.838400E-3,-0.09935504
7.838600E-3,-0.1030218
7.838800E-3,-0.1042466
7.839000E-3,-0.1041455
7.839200E-3,-0.1046132
7.839400E-3,-0.1067249
7.839600E-3,-0.1096503
7.839800E-3,-0.1111279
7.840000E-3,-0.1089936
7.840200E-3,-0.1025329
7.840400E-3,-0.09295965
7.840600E-3,-0.08307882
7.840800E-3,-0.07636505
7.841000E-3,-0.07558352
7.841200E-3,-0.08132588
7.841400E-3,-0.09126657
7.841600E-3,-0.1008263
7.841800E-3,-0.1051074
7.842000E-3,-0.101079
7.842200E-3,-0.08882876
7.842400E-3,-0.07142395
7.842600E-3,-0.05375736
7.842800E-3,-0.04098085
7.843000E-3,-0.03696558
7.843200E-3,-0.04314546
7.843400E-3,-0.05806397
7.843600E-3,-0.07783118
7.843800E-3,-0.0974
7.844000E-3,-0.1122129
7.844200E-3,-0.1196408
7.844400E-3,-0.1196433
7.844600E-3,-0.1142547
7.844800E-3,-0.1061754
7.845000E-3,-0.09754842
7.845200E-3,-0.08983053
7.845400E-3,-0.08429525
7.845600E-3,-0.08192621
7.845800E-3,-0.08262619
7.846000E-3,-0.08497962
7.846200E-3,-0.08714889
7.846400E-3,-0.08811921
7.846600E-3,-0.08831854
7.846800E-3,-0.08914306
7.847000E-3,-0.09164146
7.847200E-3,-0.09551031
7.847400E-3,-0.09934415
7.847600E-3,-0.1016819
7.847800E-3,-0.1018346
7.848000E-3,-0.1001898
7.848200E-3,-0.09804226
7.848400E-3,-0.09683059
7.848600E-3,-0.09709074
7.848800E-3,-0.09799897
7.849000E-3,-0.09793045
7.849200E-3,-0.09552783
7.849400E-3,-0.09048195
7.849600E-3,-0.08362844
7.849800E-3,-0.07644871
7.850000E-3,-0.07026332
7.850200E-3,-0.06544694
7.850400E-3,-0.06112532
7.850600E-3,-0.05578034
7.850800E-3,-0.04854361
7.851000E-3,-0.04018236
7.851200E-3,-0.03301511
7.851400E-3,-0.03001099
7.851600E-3,-0.03364045
7.851800E-3,-0.04472042
7.852000E-3,-0.0616326
7.852200E-3,-0.08051332
7.852400E-3,-0.09656587
7.852600E-3,-0.1059216
7.852800E-3,-0.1071963
7.853000E-3,-0.1021669
7.853200E-3,-0.09526431
7.853400E-3,-0.09177419
7.853600E-3,-0.0953445
7.853800E-3,-0.1061531
7.854000E-3,-0.1207446
7.854200E-3,-0.1334321
7.854400E-3,-0.1384457
7.854600E-3,-0.1319866
7.854800E-3,-0.1136481
7.855000E-3,-0.08687078
7.855200E-3,-0.05816666
7.855400E-3,-0.03509659
7.855600E-3,-0.02355111
7.855800E-3,-0.02551459
7.856000E-3,-0.03858463
7.856200E-3,-0.0575114
7.856400E-3,-0.07660801
7.856600E-3,-0.09160977
7.856800E-3,-0.1004048
7.857000E-3,-0.102768
7.857200E-3,-0.09961729
7.857400E-3,-0.09248296
7.857600E-3,-0.0834455
7.857800E-3,-0.07516059
7.858000E-3,-0.07041192
7.858200E-3,-0.07101464
7.858400E-3,-0.07667223
7.858600E-3,-0.0847745
7.858800E-3,-0.09156344
7.859000E-3,-0.09416561
7.859200E-3,-0.09220083
7.859400E-3,-0.08761126
7.859600E-3,-0.08276003
7.859800E-3,-0.07849148
7.860000E-3,-0.07370651
7.860200E-3,-0.06654578
7.860400E-3,-0.05611899
7.860600E-3,-0.0434752
7.860800E-3,-0.03122052
7.861000E-3,-0.02229729
7.861200E-3,-0.01884682
7.861400E-3,-0.02155725
7.861600E-3,-0.02934789
7.861800E-3,-0.0394441
7.862000E-3,-0.04840318
7.862200E-3,-0.05407809
7.862400E-3,-0.05706651
7.862600E-3,-0.06025775
7.862800E-3,-0.06691399
7.863000E-3,-0.07865527
7.863200E-3,-0.09429311
7.863400E-3,-0.110201
7.863600E-3,-0.1222187
7.863800E-3,-0.1276529
7.864000E-3,-0.1259309
7.864200E-3,-0.118222
7.864400E-3,-0.1072126
7.864600E-3,-0.09696139
7.864800E-3,-0.09172657
7.865000E-3,-0.09391471
7.865200E-3,-0.1027754
7.865400E-3,-0.1147574
7.865600E-3,-0.1250401
7.865800E-3,-0.1293949
7.866000E-3,-0.1256416
7.866200E-3,-0.114223
7.866400E-3,-0.09792581
7.866600E-3,-0.08096399
7.866800E-3,-0.06762692
7.867000E-3,-0.06102933
7.867200E-3,-0.06253836
7.867400E-3,-0.07188079
7.867600E-3,-0.08749904
7.867800E-3,-0.1066685
7.868000E-3,-0.125347
7.868200E-3,-0.1385849
7.868400E-3,-0.1421561
7.868600E-3,-0.1345758
7.868800E-3,-0.1179643
7.869000E-3,-0.09724733
7.869200E-3,-0.07839522
7.869400E-3,-0.06648936
7.869600E-3,-0.06403513
7.869800E-3,-0.07006366
7.870000E-3,-0.08066223
7.870200E-3,-0.0908237
7.870400E-3,-0.0965807
7.870600E-3,-0.09632358
7.870800E-3,-0.09087893
7.871000E-3,-0.08263276
7.871200E-3,-0.07433681
7.871400E-3,-0.06821682
7.871600E-3,-0.06559481
7.871800E-3,-0.06666973
7.872000E-3,-0.07017952
7.872200E-3,-0.07348958
7.872400E-3,-0.0737746
7.872600E-3,-0.06977409
7.872800E-3,-0.06275921
7.873000E-3,-0.05596826
7.873200E-3,-0.0528736
7.873400E-3,-0.05530226
7.873600E-3,-0.06252644
7.873800E-3,-0.07180895
7.874000E-3,-0.07986609
7.874200E-3,-0.08420948
7.874400E-3,-0.08374192
7.874600E-3,-0.0787708
7.874800E-3,-0.07083018
7.875000E-3,-0.0622926
7.875200E-3,-0.05564407
7.875400E-3,-0.05272254
7.875600E-3,-0.05434492
7.875800E-3,-0.06037635
7.876000E-3,-0.07010749
7.876200E-3,-0.08276118
7.876400E-3,-0.09768474
7.876600E-3,-0.1139643
7.876800E-3,-0.1299537
7.877000E-3,-0.1433242
7.877200E-3,-0.1515845
7.877400E-3,-0.1527467
7.877600E-3,-0.1460022
7.877800E-3,-0.1322494
7.878000E-3,-0.1141807
7.878200E-3,-0.09574868
7.878400E-3,-0.08106737
7.878600E-3,-0.07310023
7.878800E-3,-0.07273356
7.879000E-3,-0.07863873
7.879200E-3,-0.08777796
7.879400E-3,-0.09623094
7.879600E-3,-0.1003466
7.879800E-3,-0.09814344
7.880000E-3,-0.09030183
7.880200E-3,-0.08007669
7.880400E-3,-0.07207754
7.880600E-3,-0.07041138
7.880800E-3,-0.07698251
7.881000E-3,-0.09069601
